Library index,Radionuclide,Radiation number,Key radiation Boolean,Radiation energy (keV),Uncertainty of radiation energy (keV),Emission probability (%),Uncertainty of emission probability (%),Parent energy level,Angular momentum and parity,Half-life,Uncertainty of half-life,Half-life unit,Half-life (s),Decay mode,Branching fraction (%),Uncertainty of branching fraction (%),Literature cutoff date,Literature authors,Database access date,Database
0,U-238,1,0,49.55,0.06,0.064,0.008,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
1,U-238,2,0,113.5,0.1,0.0102,0.0015,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
2,U-238,5,0,15.784,,7.3226196218728,0.9589568838248274,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
3,U-238,7,0,93.347,,0.0011186798658306,0.0001653652539396,0.0,0+,4468000000.0,6,Y,1.4099634525447706e+17,A,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
4,Th-234,1,0,20.02,0.02,0.005,0.0020396078054371,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
5,Th-234,2,0,29.49,0.02,0.0012,0.0001386217876093,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
6,Th-234,3,0,57.75,0.1,0.005,0.0030265491900843,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
7,Th-234,4,0,62.86,0.02,0.016,0.0028086295590554,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
8,Th-234,5,0,63.29,0.02,3.665,0.3885759127892515,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
9,Th-234,6,0,73.92,0.02,0.013,0.0014427751037497,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
10,Th-234,7,0,83.3,0.05,0.06,0.0056603886792339,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
11,Th-234,8,0,87.02,0.06,0.0145,0.002756011611006,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
12,Th-234,9,0,92.38,0.01,2.13,0.202820511783202,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
13,Th-234,10,0,92.8,0.02,2.1,0.2008083663595717,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
14,Th-234,11,0,103.35,0.1,0.00315,0.0009828550249146,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
15,Th-234,12,0,108.0,0.05,0.008,0.0011872657663724,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
16,Th-234,13,0,112.81,0.05,0.21,0.0225219892549481,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
17,Th-234,14,0,184.8,,0.01,0.0050635955604688,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
18,Th-234,15,1,16.228,,7.2,0.5,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
19,Th-234,16,0,92.282,,0.009,0.009,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
20,Th-234,17,0,95.865,,0.014,0.014,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
21,Th-234,18,0,108.373,,0.005,0.005,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
22,Th-234,19,0,109.74,,0.007,0.007,0.0,0+,24.1,3,d,2082240.0,B-,100.0,,1-Jun-2006,E. BROWNE and  J. K. TULI,2024-04-27,ENSDF
